Meal,Calories (kcal),Protein (g),Carbs (g),Fat (g),Sugar (g),Tags,Type,Score
Benne Dosa + Sambar,460,12,44,18,2,"energy_boost, taste_rich",Breakfast,12
Ragi Idli + Chutney,340,12,34,10,2,"diabetic_friendly, protein_rich, soft_texture",Breakfast,14
Scrambled Eggs on Whole Wheat Toast,370,18,30,18,3,"protein_rich, brain_health, easy_digest",Other,14
Vegetable Pasta with Olive Oil,480,12,55,18,4,"gut_friendly, omega_3_rich, energy_sustaining",Other,12
Grilled Salmon + Steamed Broccoli,460,32,12,28,1,"omega_3_rich, anti_cancer, heart_healthy",Other,14
Oats Pancakes + Fruit Compote,350,10,40,12,8,"fiber_rich, antioxidant_boost, iron_rich",Breakfast,13
Hummus + Whole Wheat Pita + Veggies,390,14,40,14,2,"plant_protein, good_fats, iron_rich",Other,16
Lentil Soup (Middle Eastern style),320,16,28,8,1,"immunity_boost, protein_rich, digestion_support",Other,15
Grilled Paneer Wrap + Greens,430,21,32,18,2,"protein_rich, calcium_boost, vitamin_B12_support",Other,14
Greek Yogurt Bowl + Nuts + Berries,360,15,28,14,10,"probiotic_rich, antioxidant_boost, gut_health",Snacks,13
Avocado Toast + Boiled Egg,400,14,25,22,2,"good_fats, brain_support, fiber_rich",Breakfast,14
Chickpea Salad + Olive Dressing,350,13,30,10,3,"plant_protein, gut_friendly, low_glycemic",Breakfast,18
Peanut Butter Banana Oats,380,14,45,16,12,"energy_boost, iron_rich, easy_digest",Breakfast,12
Veggie Cheese Sandwich (Multigrain),410,16,35,18,4,"antioxidant_boost, heart_healthy, calcium_rich",Breakfast,14
Buddha Bowl (Quinoa + Chickpeas),450,20,40,18,3,"plant_protein, anti_inflammatory, fiber_rich",Other,16
Sushi (Veg or Salmon) + Edamame,430,22,36,12,4,"omega_3_rich, anti_cancer, low_fat",Other,15
Thai Basil Fried Rice (Veg/Tofu),470,15,50,18,5,"antioxidant_rich, B_vitamin_rich, gut_friendly",Other,14
"English Breakfast (eggs, toast, beans)",500,24,40,22,3,"balanced_meal, energy_boost, protein_rich",Other,13
Creamy Mushroom Risotto (Olive oil),440,10,45,18,3,"selenium_rich, vitamin_D, gut_health",Other,13
"Chicken Caesar Wrap (Lettuce, grilled chicken, low-fat sauce)",460,28,30,18,2,"lean_protein, low_glycemic, immunity_boost",Other,13
Falafel Wrap + Yogurt Dip,430,18,36,14,3,"plant_protein, probiotic_rich, anti_inflammatory",Other,17
"Smoothie Bowl (berries, yogurt, nuts)",350,14,32,12,10,"antioxidant_boost, probiotic_rich, skin_health",Snacks,14
Porridge with Chia Seeds & Almonds,300,10,45,12,4,"high_fiber, brain_health, heart_healthy",Other,15
Shakshuka (Eggs in Spicy Tomato),380,18,25,22,6,"protein_rich, vitamin_C, immune_boost",Other,12
Banana Oats Pancakes,350,12,50,14,14,"high_fiber, low_sugar, gut_health",Breakfast,13
Mango Smoothie with Almond Milk,280,8,45,10,28,"antioxidants, vitamin_C, immune_boost",Snacks,9
Chia Pudding with Almond Butter,340,12,32,20,5,"omega_3_rich, brain_health, heart_healthy",Snacks,12
Thai Green Curry with Tofu,420,18,35,20,5,"plant_protein, vitamin_B, anti-inflammatory",Other,14
Grilled Salmon & Veggie Wrap,500,32,45,22,4,"omega_3_rich, heart_healthy, protein_rich",Other,13
Chicken Teriyaki with Brown Rice,470,28,45,18,5,"lean_protein, energy_sustaining, low_cholesterol",Other,12
Grilled Shrimp with Garlic & Lemon,360,30,12,20,2,"protein_rich, low_calorie, anti-inflammatory",Other,14
Vegetable Stir-fry with Tofu,380,20,35,18,6,"plant_protein, high_fiber, antioxidant_boost",Other,14
Baked Cod with Steamed Broccoli,400,35,20,22,3,"lean_protein, omega_3_rich, low_sodium",Other,14
Roast Chicken with Sweet Potato,450,30,38,18,6,"protein_rich, vitamin_A, anti_inflammatory",Other,13
Sweet Corn Chaat,150,4,30,2,4,"High-fiber, antioxidant-rich",Snacks,16
Chana Chaat,180,8,25,3,3,"High-protein, iron-rich",Snacks,18
Cucumber + Hummus,130,4,8,7,2,"Cooling, healthy fat, fiber",Snacks,15
Banana Almond Milkshake,200,6,28,7,18,"Energy boost, potassium-rich",Snacks,15
Chocolate Milkshake,250,6,30,9,22,"Comfort food, mood-lifting",Snacks,13
Vegetable Cutlet,180,4,20,8,2,"Iron-rich, fiber-rich",Snacks,14
Vegetable Samosa,250,5,26,15,2,"Popular, but oily",Snacks,11
Greek Yogurt,100,10,6,4,5,"High Protein, Low Sugar, Probiotic",Snacks,18
Apple with Peanut Butter,180,4,22,9,14,"Fiber-Rich, Natural Sugar, Healthy Fat",Snacks,16
Almonds (28g),160,6,6,14,1,"Heart-Healthy, High Fat, Low Carb",Snacks,17
Protein Bar/ Energy Bar,200,20,18,7,6,"High Protein, Processed, Moderate Sugar",Snacks,14
"Popcorn (Air-popped, 3 cups)",90,3,18,1,0,"Whole Grain, Low Calorie, Low Fat",Snacks,16
"Dark Chocolate (70%, 30g)",170,2,13,12,7,"Antioxidant-Rich, High Fat",Snacks,14
Banana,105,1,27,0,14,"High Potassium, Natural Sugar",Snacks,14
Rice Cakes with Nut Butter,190,5,20,9,5,"Light, Balanced Snack",Snacks,15
Granola Bar (oats/honey),180,3,24,6,12,"High Sugar, Moderate Energy",Snacks,12
Roasted Chana,110,6,18,2,1,"High Protein, Crunchy, Low Sugar",Snacks,17
Dhokla (2 pieces),160,6,20,5,2,"Fermented, Light, High Carb, Steamed",Snacks,16
Masala Oats,180,6,25,6,3,"Fiber-Rich, Spiced, Balanced",Snacks,16
Bhel Puri,150,3,25,4,4,"Low Cal, Spicy-Sweet, Street Food",Snacks,13
Vegetable Pakora (3 pcs),220,5,20,14,1,"Deep-Fried, Crunchy, Moderate Protein",Snacks,11
Rajma Chaat,180,8,20,4,2,"High Protein, Fiber-Rich, Spicy",Snacks,17
Makhana Roasted,100,4,14,3,0,"Low Cal, Gluten-Free, Antioxidant-Rich",Snacks,17
Ragi Cookies (2 pcs),130,3,18,6,5,"Whole Grain, Iron-Rich, Mildly Sweet",Snacks,14
Coconut Ladoo (1 pc),140,2,15,8,10,"High Sugar, Festive Sweet",Snacks,9
Chikki,150,5,18,7,12,"Protein + Sugar, Energy-Dense, Natural Sweetener",Snacks,13
Sweet biscuits,130,2,20,4,7,"Processed, Refined Sugar, Low Satiety",Snacks,11
Digestive biscuits,140,2,18,6,5,"Slightly Fibrous, Mid-Cal",Snacks,13
Salted crackers,120,2,17,5,1,"Salty, Refined, Low Sugar",Snacks,13
Butter cookies,150,1.5,18,9,8,"Buttery, Rich, High Fat",Snacks,9
Cream sandwich biscuits,160,1,22,7,12,"High Sugar, Ultra-Processed",Snacks,8
Chocolate bar,110,1,12,6,10,"Sugary, Melts Fast, High GI",Snacks,7
Mini cake slices,140,1,20,6,12,"Soft, Spongy, High Sugar",Snacks,8
Rusks,120,3,18,3,4,"Dry, Crunchy, Good With Tea",Snacks,13
Potato chips,160,2,15,11,0,"Salty, Fried, Addictive",Snacks,9
Banana chips,180,1,20,12,4,"Fried, Crunchy, Sweetish",Snacks,9
Roasted chickpeas,120,6,18,2,1,"Crunchy, High Protein, Low Fat",Snacks,17
Yogurt cup with fruit,90,4,12,2,8,"Cool, Creamy, Protein + Sugar",Snacks,14
Mini sandwich,180,4,20,9,2,"Easy, Tasty, High Fat",Snacks,12
Instant noodles,190,3,26,7,1,"Processed, Quick, Not Nutritious",Snacks,8
Muesli with milk,150,5,22,4,6,"Balanced, Slightly Sweet",Snacks,15
Mixture/namkeen,170,3,15,10,1,"Fried, Crunchy, Salty",Snacks,10
Fruit smoothie,100,3,18,2,10,"Fresh, Sugary, Nutrient-Rich",Snacks,14
Boiled corn with masala,100,3,20,2,3,"Whole Food, Hot, Flavorful",Snacks,15
Chocolate muffin,220,2,30,10,18,"Sweet, Soft, Indulgent",Snacks,7
Bread pakora,200,4,20,12,2,"Deep Fried, Spicy, Hearty",Snacks,10
